Contrast,cluster,k cluster,max cluster,x,y,z,Region,k region,max region
,,,,,,,L. Temporal fusiform posterior,186,4.54
,,,,,,,R. Temporal fusiform posterior,175,4.28
,,,,,,,L. Lateral occipital cortex inferior,138,3.87
,,,,,,,L. Parahippocampal gyrus anterior,94,3.69
,,,,,,,R. Lateral occipital cortex inferior,82,3.26
,,,,,,,L. Amgydala,67,3.46
,,,,,,,R. Occipital pole,47,3.17
,,,,,,,L. Supracalcarine cortex,43,3.51
,,,,,,,L. Thalamus,40,3.49
,,,,,,,L. Cuneal cortex,33,3.48
,,,,,,,R. Parahippocampal gyrus anterior,24,2.98
,,,,,,,R. Cuneal cortex,22,3.51
,2,7062,6.22,51,89,56,,,
,,,,,,,L. Frontal pole,1727,6.22
,,,,,,,L. Superior frontal gyrus,1052,5.53
,,,,,,,R. Frontal pole,924,5.45
,,,,,,,L. Paracingulate gyrus,417,4.56
,,,,,,,R. Superior frontal gyrus,238,4.69
,,,,,,,L. Frontal medial cortex,211,4.71
,,,,,,,R. Frontal medial cortex,109,4.62
,,,,,,,R. Paracingulate gyrus,86,4.05
,,,,,,,L. Supplementary motor area,66,3.87
,3,6912,6.62,74,59,27,,,
,,,,,,,L. Temporal pole,1379,6.27
,,,,,,,L. Medial temporal gyrus posterior,934,5.96
,,,,,,,L. Orbitofrontal cortex,747,5.29
,,,,,,,L. Superior temporal gyrus posterior,746,5.82
,,,,,,,L. Medial temporal gyrus anterior,488,6.62
,,,,,,,L. Inferior frontal gyrus parstriangularis,264,5.73
,,,,,,,L. Superior temporal gyrus anterior,186,5.83
,,,,,,,L. Inferior temporal gyrus anterior,180,4.69
,,,,,,,L. Inferior frontal gyrus parsopercularis,132,4.55
,,,,,,,L. Medial temporal gyrus temporo-occipital,73,4.12
,,,,,,,L. Inferior temporal gyrus posterior,62,4.39
,,,,,,,L. Frontal pole,59,3.32
,,,,,,,L. Frontal operculum,54,4.06
,4,3443,5.69,23,66,23,,,
,,,,,,,R. Temporal pole,1068,5.58
,,,,,,,R. Medial temporal gyrus posterior,435,5.07
,,,,,,,R. Superior temporal gyrus posterior,411,5.10
,,,,,,,R. Medial temporal gyrus anterior,409,5.13
,,,,,,,R. Orbitofrontal cortex,383,4.94
,,,,,,,R. Superior temporal gyrus anterior,191,4.53
,,,,,,,R. Inferior temporal gyrus anterior,94,4.25
,,,,,,,R. Frontal pole,66,3.51
,,,,,,,R. Insula,21,3.78
,5,2265,5.94,42,34,13,,,
,6,1754,6.25,74,30,54,,,
,,,,,,,L. Lateral occitipal cortex superior,824,6.13
,,,,,,,L. Angular gyrus,457,6.12
,7,731,4.76,69,73,59,,,
,,,,,,,L. Medial frontal gyrus,491,4.76
,,,,,,,,,
Int > sit,1,20546,6.21,75,45,60,,,
,,,,,,,L. Precentral gyrus,1049,5.02
,,,,,,,L. Supramarginal gyrust anterior,1024,6.21
,,,,,,,L. Central operculum,919,5.81
,,,,,,,L. Postcentral gyrus,885,5.72
,,,,,,,R. Precentral gyrus,817,4.79
,,,,,,,R. Central operculum,775,5.43
,,,,,,,R. Supramarginal gyrus anterior,774,6.20
,,,,,,,R. Insula,761,5.33
,,,,,,,L. Insula,660,5.62
,,,,,,,R. Supramarginal gyrus posterior,608,5.12
,,,,,,,R. Postcentral gyrus,555,5.77
,,,,,,,R. Parietal operculum,491,5.34
,,,,,,,L. Parietal operculum,486,5.90
,,,,,,,L. Planum temporale,442,5.06
,,,,,,,R. Planum temporale,380,4.59
,,,,,,,R. Putamen,368,4.00
,,,,,,,L. Supplementary motor area,345,4.84
,,,,,,,R. Supplementary motor area,312,4.54
,,,,,,,R. Superior parietal lobule,292,4.48
,,,,,,,L. Heschls gyrus,269,4.96
,,,,,,,L. Superior parietallobule,263,4.59
,,,,,,,R. Planum polare,253,5.14
,,,,,,,L. Planum polare,253,5.58
,,,,,,,L. Anterior cingulate cortex,247,4.43
,,,,,,,R. Anterior cingulate cortex,233,4.51
,,,,,,,R. Heschls gyrus,214,5.01
,,,,,,,L. Supramarginal gyrus posterior,198,4.36
,,,,,,,R. Posterior cingulate cortex,190,4.24
,,,,,,,L. Posterior cingulate cortex,170,4.24
,,,,,,,L. Inferior frontal gyrus parsopercularis,167,4.56
,,,,,,,R. Inferior frontal gyrus parsopercularis,164,4.00
,,,,,,,L. Putamen,128,3.49
,,,,,,,R. Superior temporal gyrus posterior,103,4.20
,,,,,,,R. Frontal operculum,80,3.90
,,,,,,,R. Temporal pole,57,4.26
,,,,,,,R. Angular gyrus,52,3.80
,,,,,,,R. Precuneous,42,4.00
,,,,,,,L. Superior temporal gyrus posterior,38,3.96
,,,,,,,R. Pallidum,34,3.52
,,,,,,,L. Superior frontal gyrus,29,3.35
,,,,,,,L. Temporal pole,26,4.05
,,,,,,,R. Superior temporal gyrus anterior,24,4.18
,2,1548,5.82,21,84,39,,,
,,,,,,,R. Frontal pole,1068,5.82
,,,,,,,R. Medial frontal gyrus,98,4.06
