Contrast,cluster,k cluster,max cluster,x,y,z,Region,k region,max region
,,,,,,,R. Superior frontal gyrus,523,3.80
,,,,,,,L. Superior frontal gyrus,392,4.15
,,,,,,,L. Paracingulate gyrus,123,3.69
,,,,,,,L. Frontal medial cortex,109,4.68
,,,,,,,R. Paracingulate gyrus,79,3.28
,,,,,,,R. Frontal medial cortex,47,4.19
,3,3862,5.79,74,59,29,,,
,,,,,,,L. Temporal pole,964,5.49
,,,,,,,L. Superior temporal gyrus posterior,612,5.32
,,,,,,,L. Medial temporal gyrus posterior,543,5.75
,,,,,,,L. Medial temporal gyrus anterior,430,5.79
,,,,,,,L. Orbitofrontal cortex,220,4.07
,,,,,,,L. Superior temporal gyrus anterior,196,5.48
,,,,,,,L. Inferior frontal gyrus parstriangularis,149,3.66
,,,,,,,L. Inferior frontal gyrus parsopercularis,70,3.63
,,,,,,,L. Medial temporal gyrus temporo-occipital,56,3.79
,,,,,,,L. Frontal operculum,50,3.60
,,,,,,,L. Inferior temporal gyrus anterior,45,3.57
,4,2342,5.32,17,64,26,,,
,,,,,,,R. Temporal pole,699,5.13
,,,,,,,R. Medial temporal gyrus posterior,473,5.22
,,,,,,,R. Superior temporal gyrus posterior,467,5.23
,,,,,,,R. Medial temporal gyrus anterior,334,5.32
,,,,,,,R. Superior temporal gyrus anterior,180,5.32
,5,1720,5.00,70,29,49,,,
,,,,,,,L. Lateral occitipal cortex superior,996,5.00
,,,,,,,L. Angular gyrus,405,4.35
,,,,,,,L. Supramarginal gyrus posterior,22,3.33
,6,1233,5.23,19,33,51,,,
,,,,,,,R. Angular gyrus,529,5.14
,,,,,,,R. Lateral occipital cortex superior,498,5.23
,,,,,,,R. Lateral occipital cortex inferior,47,3.28
,7,438,4.21,32,24,17,,,
,8,264,4.51,42,35,13,,,
,9,260,3.99,21,76,33,,,
,,,,,,,R. Orbitofrontal cortex,147,3.99
,,,,,,,R. Frontal pole,48,3.10
,,,,,,,R. Frontal operculum,25,3.70
,10,40,3.18,29,75,27,,,
,,,,,,,R. Orbitofrontal cortex,38,3.18
,,,,,,,,,
Int > sit,1,2894,5.34,73,44,59,,,
,,,,,,,L. Supramarginal gyrust anterior,886,5.34
,,,,,,,L. Supramarginal gyrus posterior,500,5.20
,,,,,,,L. Postcentral gyrus,201,4.64
,,,,,,,L. Superior parietallobule,188,4.22
,,,,,,,L. Lateral occitipal cortex superior,108,4.15
,,,,,,,L. Angular gyrus,103,4.55
,,,,,,,L. Parietal operculum,102,4.79
,2,1939,5.95,65,84,42,,,
,,,,,,,L. Frontal pole,1250,5.95
,,,,,,,L. Medial frontal gyrus,337,4.67
,,,,,,,L. Inferior frontal gyrus parstriangularis,99,5.12
,3,815,4.27,23,85,36,,,
,,,,,,,R. Frontal pole,745,4.27
,4,776,4.25,15,45,58,,,
,,,,,,,R. Supramarginal gyrus posterior,316,4.25
,,,,,,,R. Supramarginal gyrus anterior,145,4.09
,,,,,,,R. Angular gyrus,45,3.41
,5,770,5.38,71,67,41,,,
,,,,,,,L. Precentral gyrus,392,5.38
,,,,,,,L. Inferior frontal gyrus parsopercularis,260,5.38
,,,,,,,L. Medial frontal gyrus,32,3.51
