Conjunction,cluster,k cluster,max cluster,x,y,z,Region,k region,max region
,,,,,,,L. Lateral occipital cortex inferior,42,3.41
,,,,,,,L. Supracalcarine cortex,32,3.26
,,,,,,,R. Cuneal cortex,26,3.26
,2,4872,5.58,71,60,28,,,
,,,,,,,L. Lateral occitipal cortex superior,1063,4.55
,,,,,,,L. Temporal pole,879,5.02
,,,,,,,L. Superior temporal gyrus posterior,615,4.83
,,,,,,,L. Medial temporal gyrus posterior,470,4.96
,,,,,,,L. Angular gyrus,465,4.86
,,,,,,,L. Medial temporal gyrus anterior,412,5.58
,,,,,,,L. Superior temporal gyrus anterior,159,5.58
,,,,,,,L. Occipital pole,102,3.60
,,,,,,,L. Inferior temporal gyrus anterior,54,3.68
,,,,,,,L. Medial temporal gyrus temporo-occipital,45,3.43
,,,,,,,L. Supramarginal gyrus posterior,33,3.71
,,,,,,,L. Orbitofrontal cortex,30,3.05
,3,1815,5.10,20,57,28,,,
,,,,,,,R. Temporal pole,719,4.74
,,,,,,,R. Medial temporal gyrus posterior,306,5.10
,,,,,,,R. Superior temporal gyrus posterior,289,4.80
,,,,,,,R. Medial temporal gyrus anterior,261,4.71
,,,,,,,R. Superior temporal gyrus anterior,168,4.90
,4,1127,4.28,50,89,58,,,
,,,,,,,L. Frontal pole,449,4.28
,,,,,,,R. Frontal pole,178,3.44
,,,,,,,L. Superior frontal gyrus,142,3.68
