sub_name,gender,age
sub001,F,22
sub002,F,22
sub003,F,20
sub004,F,24
sub005,M,23
sub006,M,21
sub007,M,21
sub008,F,24
sub009,F,22
sub010,M,23
sub011,F,22
sub012,M,21
sub013,F,19
sub018,M,25
sub020,F,20
sub021,F,18
sub022,M,22
sub023,F,20
sub024,F,20
sub025,F,22
sub026,F,20
