	Contrast	cluster	k cluster	max cluster	x	y	z	Region	k region	max region
0		2.0	4740	4.830776214599609	-8	52	44	R. Frontal pole	1414	4.60876989364624
0								L. Frontal pole	1266	4.830776214599609
1								R. Superior frontal gyrus	610	3.836920976638794
2								L. Superior frontal gyrus	450	4.198450088500977
3								L. Paracingulate gyrus	150	3.8664233684539795
4								L. Frontal medial cortex	120	4.676508903503418
5								R. Paracingulate gyrus	96	3.5675089359283447
6								R. Frontal medial cortex	56	4.585616111755371
7										
0		3.0	3862	5.78537654876709	-58	-8	-14	L. Temporal pole	1036	5.485804557800293
0								L. Superior temporal gyrus posterior	743	5.497348308563232
1								L. Medial temporal gyrus posterior	670	5.751866817474365
2								L. Medial temporal gyrus anterior	535	5.78537654876709
3								L. Superior temporal gyrus anterior	251	5.66357421875
4								L. Orbitofrontal cortex	242	4.074956893920898
5								L. Inferior frontal gyrus parstriangularis	198	3.656398296356201
6								L. Inferior frontal gyrus parsopercularis	102	3.656398296356201
7								L. Medial temporal gyrus temporo-occipital	76	3.7928199768066406
8								L. Frontal operculum	69	3.7355403900146484
9								L. Inferior temporal gyrus anterior	59	3.855581760406494
10								L. Supramarginal gyrus posterior	26	3.456040620803833
11										
0		4.0	2342	5.316877841949463	56	2	-20	R. Temporal pole	721	5.1297173500061035
0								R. Superior temporal gyrus posterior	569	5.234257698059082
1								R. Medial temporal gyrus posterior	559	5.220850467681885
2								R. Medial temporal gyrus anterior	422	5.316877841949463
3								R. Superior temporal gyrus anterior	227	5.316877841949463
4								R. Medial temporal gyrus temporo-occipital	30	3.4285945892333984
5										
0		5.0	1720	5.003506183624268	-50	-68	26	L. Lateral occipital cortex superior	1050	5.003506183624268
0								L. Angular gyrus	483	4.346352577209473
1								L. Supramarginal gyrus posterior	51	3.689336061477661
2										
0		6.0	1233	5.228973388671875	52	-60	30	R. Angular gyrus	596	5.218837738037109
0								R. Lateral occipital cortex superior	560	5.228973388671875
1								R. Lateral occipital cortex inferior	60	3.281357765197754
2								R. Supramarginal gyrus posterior	34	3.558776617050171
3										
0		7.0	438	4.20717716217041	26	-78	-38	L. Lingual gyrus	0	0
0										
0		8.0	264	4.507267475128174	6	-56	-46	L. Lingual gyrus	0	0
0										
0		9.0	260	3.9863622188568115	48	26	-6	R. Orbitofrontal cortex	178	3.9863622188568115
0								R. Frontal pole	58	3.207974433898926
1								R. Inferior frontal gyrus parstriangularis	42	3.609762191772461
2								R. Frontal operculum	38	3.8719143867492676
3										
0		10.0	40	3.182922601699829	32	24	-18	R. Orbitofrontal cortex	40	3.182922601699829
0										
0	int>sit	1.0	2894	5.337478160858154	-56	-38	46	L. Supramarginal gyrus anterior	1033	5.337478160858154
0								L. Supramarginal gyrus posterior	665	5.203705310821533
1								L. Superior parietallobule	288	4.4172492027282715
2								L. Postcentral gyrus	275	4.637423515319824
3								L. Angular gyrus	184	4.5507001876831055
4								L. Lateral occipital cortex superior	135	4.149473190307617
5								L. Parietal operculum	123	4.8544840812683105
6								L. Planum temporale	21	3.6563892364501953
7										
0		2.0	1939	5.9457502365112305	-40	42	12	L. Frontal pole	1332	5.9457502365112305
0								L. Medial frontal gyrus	412	4.7951531410217285
1								L. Inferior frontal gyrus parstriangularis	147	5.584535121917725
2										
0		3.0	815	4.273074626922607	44	44	0	R. Frontal pole	761	4.273074626922607
0								R. Medial frontal gyrus	33	3.3480427265167236
1										
0		4.0	776	4.253744125366211	60	-36	44	R. Supramarginal gyrus posterior	369	4.253744125366211
0								R. Supramarginal gyrus anterior	167	4.087277889251709
1								R. Angular gyrus	69	3.4055984020233154
2										
0		5.0	770	5.377967834472656	-52	8	10	L. Precentral gyrus	471	5.377967834472656
0								L. Inferior frontal gyrus parsopercularis	316	5.377967834472656
1								L. Medial frontal gyrus	54	3.8434274196624756
2										
0		6.0	588	4.566738128662109	-4	-22	28	L. Posterior cingulate cortex	192	4.566738128662109
0								R. Posterior cingulate cortex	172	4.233664512634277
1								L. Anterior cingulate cortex	47	4.356656074523926
2								R. Anterior cingulate cortex	38	3.977646827697754
3										
0		7.0	374	4.738779544830322	-22	34	-12	L. Frontal pole	268	4.698405742645264
0								L. Orbitofrontal cortex	111	4.738779544830322
1										
0		8.0	292	3.730475902557373	-2	28	48	L. Paracingulate gyrus	153	3.7244479656219482
0								L. Superior frontal gyrus	89	3.730475902557373
1								R. Paracingulate gyrus	52	3.072382688522339
2										
0		9.0	291	4.458274841308594	-26	0	60	L. Superior frontal gyrus	196	4.458274841308594
0								L. Medial frontal gyrus	136	4.458274841308594
1										
0	sit>int	1.0	35832	5.716883659362793	-52	-6	-16	R. Lateral occipital cortex superior	2824	5.681017875671387
0								L. Lateral occipital cortex superior	1980	5.318655967712402
1								R. Lingual gyrus	1905	5.046412944793701
2								L. Lingual gyrus	1666	4.991443157196045
3								R. Precuneous	1493	5.015858173370361
4								R. Lateral occipital cortex inferior	1473	5.549098491668701
5								L. Precuneous	1426	4.846702575683594
6								L. Occipital fusiform	1210	4.838223934173584
7								L. Lateral occipital cortex inferior	1204	4.873521327972412
8								R. Temporo-occipital fusiform	1087	5.046412944793701
9								R. Occipital fusiform	1059	4.5598015785217285
10								R. Occipital pole	1059	5.021783828735352
11								L. Occipital pole	987	4.891751766204834
12								L. Temporal pole	958	5.292998313903809
13								R. Intracalcarine cortex	933	4.879593372344971
14								R. Angular gyrus	927	5.3245954513549805
15								L. Intracalcarine cortex	851	5.115911483764648
16								L. Temporo-occipital fusiform	806	4.9542555809021
17								R. Temporal pole	804	4.751400947570801
18								L. Superior temporal gyrus posterior	797	5.506542205810547
