	Contrast	cluster	k cluster	max cluster	x	y	z	Region	k region	max region
8								L. Hippocampus	607	4.37048864364624
9								R. Posterior cingulate cortex	562	5.2137603759765625
10								L. Temporo-occipital fusiform	540	4.541028022766113
11								L. Occipital pole	409	4.475609302520752
12								R. Temporo-occipital fusiform	404	4.108641147613525
13								R. Occipital fusiform	346	4.108641147613525
14								L. Parahippocampal gyrus posterior	307	4.695388317108154
15								R. Parahippocampal gyrus posterior	224	4.276956081390381
16								R. Lateral occipital cortex superior	222	3.353482246398926
17								L. Temporal fusiform posterior	220	4.6568427085876465
18								R. Hippocampus	209	3.57171893119812
19								R. Temporal fusiform posterior	191	4.276956081390381
20								L. Lateral occipital cortex inferior	190	3.8656203746795654
21								L. Parahippocampal gyrus anterior	113	3.6914584636688232
22								R. Lateral occipital cortex inferior	108	3.262540578842163
23								L. Supracalcarine cortex	95	3.735126495361328
24								L. Amygdala	75	3.4597928524017334
25								R. Occipital pole	73	3.1694908142089844
26								L. Cuneal cortex	50	3.73461651802063
27								L. Thalamus	50	3.485560655593872
28								R. Supracalcarine cortex	49	3.8239693641662598
29								R. Cuneal cortex	36	3.7025399208068848
30								R. Parahippocampal gyrus anterior	30	3.0273616313934326
31										
0		2.0	7062	6.219587326049805	-12	52	40	L. Frontal pole	1932	6.219587326049805
0								L. Superior frontal gyrus	1223	5.532459259033203
1								R. Frontal pole	1024	5.452587604522705
2								L. Paracingulate gyrus	480	4.559146404266357
3								R. Superior frontal gyrus	280	5.041215419769287
4								L. Frontal medial cortex	254	4.711863994598389
5								R. Frontal medial cortex	132	4.620828151702881
6								R. Paracingulate gyrus	118	4.472830295562744
7								L. Supplementary motor area	85	4.566391468048096
8								R. Supplementary motor area	24	3.27873158454895
9										
0		3.0	6912	6.619510173797607	-58	-8	-18	L. Temporal pole	1466	6.271372318267822
0								L. Medial temporal gyrus posterior	1111	6.179729461669922
1								L. Superior temporal gyrus posterior	903	5.822136878967285
2								L. Orbitofrontal cortex	822	5.293001651763916
3								L. Medial temporal gyrus anterior	614	6.619510173797607
4								L. Inferior frontal gyrus parstriangularis	352	5.7304606437683105
5								L. Superior temporal gyrus anterior	244	5.938480377197266
6								L. Inferior temporal gyrus anterior	223	4.693721294403076
7								L. Inferior frontal gyrus parsopercularis	176	4.663196563720703
8								L. Medial temporal gyrus temporo-occipital	110	4.2128400802612305
9								L. Inferior temporal gyrus posterior	87	4.38939905166626
10								L. Frontal pole	83	4.1621785163879395
11								L. Frontal operculum	76	4.063860893249512
12										
0		4.0	3443	5.68629264831543	44	6	-26	R. Temporal pole	1130	5.57627010345459
0								R. Medial temporal gyrus posterior	519	5.074089527130127
1								R. Medial temporal gyrus anterior	513	5.126651763916016
2								R. Superior temporal gyrus posterior	494	5.102947235107422
3								R. Orbitofrontal cortex	419	4.935100555419922
4								R. Superior temporal gyrus anterior	241	4.525353908538818
5								R. Inferior temporal gyrus anterior	113	4.252967834472656
6								R. Frontal pole	89	3.988349437713623
7								R. Insula	24	3.7843146324157715
8										
0		5.0	2265	5.935318946838379	6	-58	-46	L. Lingual gyrus	0	0
0										
0		6.0	1754	6.246671199798584	-58	-66	36	L. Lateral occipital cortex superior	904	6.134719371795654
0								L. Angular gyrus	562	6.122143745422363
1								L. Supramarginal gyrus posterior	41	4.468306541442871
2										
0		7.0	731	4.764352798461914	-48	20	46	L. Medial frontal gyrus	512	4.764352798461914
0								L. Precentral gyrus	22	3.252903461456299
1										
0	int>sit	1.0	20546	6.206063747406006	-60	-36	48	L. Supramarginal gyrus anterior	1238	6.206063747406006
0								L. Precentral gyrus	1219	5.278937816619873
1								L. Postcentral gyrus	1168	5.762627601623535
2								L. Central operculum	1055	5.807281017303467
3								R. Precentral gyrus	1003	4.792609214782715
4								R. Supramarginal gyrus anterior	936	6.199540138244629
5								R. Central operculum	911	5.426976680755615
6								R. Insula	845	5.325247287750244
7								R. Supramarginal gyrus posterior	772	5.224324703216553
8								L. Insula	734	5.807281017303467
9								R. Postcentral gyrus	716	5.76708459854126
10								R. Parietal operculum	616	5.401854038238525
11								L. Parietal operculum	583	5.8957109451293945
12								L. Planum temporale	537	5.213891983032227
13								R. Planum temporale	478	5.340411186218262
14								L. Supplementary motor area	407	4.8444743156433105
15								R. Putamen	396	4.199810028076172
16								R. Superior parietal lobule	362	4.480920791625977
17								L. Superior parietallobule	356	4.592566013336182
18								R. Supplementary motor area	355	4.539539337158203
19								L. Heschls gyrus	338	5.028803825378418
20								L. Planum polare	323	5.581532001495361
21								R. Planum polare	318	5.1440300941467285
22								L. Supramarginal gyrus posterior	283	4.819808483123779
23								L. Anterior cingulate cortex	283	4.426819801330566
24								R. Anterior cingulate cortex	273	4.50647497177124
25								R. Heschls gyrus	271	5.013637542724609
26								R. Posterior cingulate cortex	239	4.237307548522949
27								R. Inferior frontal gyrus parsopercularis	223	4.303763389587402
28								L. Inferior frontal gyrus parsopercularis	218	4.711202144622803
29								L. Posterior cingulate cortex	209	4.2553181648254395
30								L. Putamen	141	3.8391406536102295
31								R. Superior temporal gyrus posterior	127	4.195355415344238
32								R. Frontal operculum	95	3.901484727859497
33								R. Angular gyrus	79	4.1627702713012695
34								R. Temporal pole	76	4.41451358795166
35								L. Superior temporal gyrus posterior	66	4.501006603240967
36								R. Precuneous	64	4.162126541137695
37								L. Superior frontal gyrus	37	3.518693208694458
38								R. Superior temporal gyrus anterior	37	4.198938369750977
39								R. Pallidum	35	3.520416021347046
40								L. Superior temporal gyrus anterior	34	4.699272155761719
41								L. Temporal pole	31	4.051974296569824
42								L. Precuneous	28	3.9915950298309326
43								L. Frontal operculum	25	4.241270542144775
44										
0		2.0	1548	5.8158345222473145	48	42	6	R. Frontal pole	1158	5.8158345222473145
0								R. Medial frontal gyrus	157	4.059496879577637
1								R. Inferior frontal gyrus parstriangularis	75	3.900634765625
2										
0		3.0	1173	5.187376022338867	-40	40	10	L. Frontal pole	821	5.187376022338867
0								L. Medial frontal gyrus	153	4.311223983764648
1								L. Inferior frontal gyrus parstriangularis	84	4.586043834686279
2										
